Problems,Difficulty,Date,Week #
2,Medium,1/1/2021,0
4,Hard,1/1/2021,0
8,Medium,1/1/2021,0
9,Easy,1/1/2021,0
10,Hard,1/1/2021,0
13,Easy,1/1/2021,0
17,Medium,1/1/2021,0
22,Medium,1/1/2021,0
23,Hard,1/1/2021,0
24,Medium,1/1/2021,0
25,Hard,1/1/2021,0
28,Medium,1/1/2021,0
36,Medium,1/1/2021,0
41,Hard,1/1/2021,0
44,Hard,1/1/2021,0
48,Medium,1/1/2021,0
51,Hard,1/1/2021,0
54,Medium,1/1/2021,0
63,Medium,1/1/2021,0
64,Medium,1/1/2021,0
65,Hard,1/1/2021,0
67,Easy,1/1/2021,0
70,Easy,1/1/2021,0
73,Medium,1/1/2021,0
78,Medium,1/1/2021,0
80,Medium,1/1/2021,0
82,Medium,1/1/2021,0
84,Hard,1/1/2021,0
85,Hard,1/1/2021,0
86,Medium,1/1/2021,0
87,Hard,1/1/2021,0
92,Medium,1/1/2021,0
96,Medium,1/1/2021,0
100,Easy,1/1/2021,0
107,Medium,1/1/2021,0
108,Easy,1/1/2021,0
113,Medium,1/1/2021,0
116,Medium,1/1/2021,0
118,Easy,1/1/2021,0
120,Medium,1/1/2021,0
121,Easy,1/1/2021,0
122,Medium,1/1/2021,0
123,Hard,1/1/2021,0
127,Hard,1/1/2021,0
129,Medium,1/1/2021,0
131,Medium,1/1/2021,0
133,Medium,1/1/2021,0
135,Hard,1/1/2021,0
136,Easy,1/1/2021,0
137,Medium,1/1/2021,0
138,Medium,1/1/2021,0
141,Easy,1/1/2021,0
144,Easy,1/1/2021,0
149,Hard,1/1/2021,0
160,Easy,1/1/2021,0
162,Medium,1/1/2021,0
169,Easy,1/1/2021,0
171,Easy,1/1/2021,0
189,Medium,1/1/2021,0
199,Medium,1/1/2021,0
200,Medium,1/1/2021,0
201,Medium,1/1/2021,0
203,Easy,1/1/2021,0
207,Medium,1/1/2021,0
208,Medium,1/1/2021,0
211,Medium,1/1/2021,0
212,Hard,1/1/2021,0
218,Hard,1/1/2021,0
221,Medium,1/1/2021,0
222,Medium,1/1/2021,0
226,Easy,1/1/2021,0
238,Medium,1/1/2021,0
239,Hard,1/1/2021,0
260,Medium,1/1/2021,0
268,Easy,1/1/2021,0
282,Hard,1/1/2021,0
283,Easy,1/1/2021,0
287,Medium,1/1/2021,0
289,Medium,1/1/2021,0
292,Easy,1/1/2021,0
301,Hard,1/1/2021,0
303,Easy,1/1/2021,0
310,Medium,1/1/2021,0
312,Hard,1/1/2021,0
313,Medium,1/1/2021,0
316,Medium,1/1/2021,0
321,Hard,1/1/2021,0
326,Easy,1/1/2021,0
328,Medium,1/1/2021,0
329,Hard,1/1/2021,0
330,Hard,1/1/2021,0
334,Medium,1/1/2021,0
336,Hard,1/1/2021,0
342,Easy,1/1/2021,0
343,Medium,1/1/2021,0
350,Easy,1/1/2021,0
352,Hard,1/1/2021,0
376,Medium,1/1/2021,0
378,Medium,1/1/2021,0
383,Easy,1/1/2021,0
387,Easy,1/1/2021,0
389,Easy,1/1/2021,0
396,Medium,1/1/2021,0
397,Medium,1/1/2021,0
402,Medium,1/1/2021,0
403,Hard,1/1/2021,0
405,Easy,1/1/2021,0
412,Easy,1/1/2021,0
413,Medium,1/1/2021,0
421,Medium,1/1/2021,0
429,Medium,1/1/2021,0
430,Medium,1/1/2021,0
432,Hard,1/1/2021,0
433,Medium,1/1/2021,0
437,Medium,1/1/2021,0
441,Easy,1/1/2021,0
442,Medium,1/1/2021,0
445,Medium,1/1/2021,0
446,Hard,1/1/2021,0
448,Easy,1/1/2021,0
450,Medium,1/1/2021,0
455,Easy,1/1/2021,0
456,Medium,1/1/2021,0
457,Medium,1/1/2021,0
461,Easy,1/1/2021,0
467,Medium,1/1/2021,0
470,Medium,1/1/2021,0
472,Hard,1/1/2021,0
473,Medium,1/1/2021,0
476,Easy,1/1/2021,0
477,Medium,1/1/2021,0
480,Hard,1/1/2021,0
493,Hard,1/1/2021,0
497,Medium,1/1/2021,0
498,Medium,1/1/2021,0
501,Easy,1/1/2021,0
502,Hard,1/1/2021,0
513,Medium,1/1/2021,0
514,Hard,1/1/2021,0
517,Hard,1/1/2021,0
518,Medium,1/1/2021,0
523,Medium,1/1/2021,0
526,Medium,1/1/2021,0
529,Medium,1/1/2021,0
530,Easy,1/1/2021,0
538,Medium,1/1/2021,0
540,Medium,1/1/2021,0
542,Medium,1/1/2021,0
543,Easy,1/1/2021,0
547,Medium,1/1/2021,0
552,Hard,1/1/2021,0
554,Medium,1/1/2021,0
557,Easy,1/1/2021,0
559,Easy,1/1/2021,0
560,Medium,1/1/2021,0
563,Easy,1/1/2021,0
566,Easy,1/1/2021,0
572,Easy,1/1/2021,0
587,Hard,1/1/2021,0
594,Easy,1/1/2021,0
600,Hard,1/1/2021,0
605,Easy,1/1/2021,0
609,Medium,1/1/2021,0
617,Medium,1/1/2021,0
621,Medium,1/1/2021,0
623,Medium,1/1/2021,0
628,Easy,1/1/2021,0
629,Hard,1/1/2021,0
630,Hard,1/1/2021,0
632,Hard,1/1/2021,0
633,Medium,1/1/2021,0
636,Medium,1/1/2021,0
637,Easy,1/1/2021,0
641,Medium,1/1/2021,0
647,Medium,1/1/2021,0
648,Medium,1/1/2021,0
665,Medium,1/1/2021,0
668,Hard,1/1/2021,0
669,Medium,1/1/2021,0
670,Medium,1/1/2021,0
676,Medium,1/1/2021,0
679,Hard,1/1/2021,0
680,Easy,1/1/2021,0
684,Medium,1/1/2021,0
685,Hard,1/1/2021,0
686,Medium,1/1/2021,0
687,Medium,1/1/2021,0
688,Medium,1/1/2021,0
689,Hard,1/1/2021,0
695,Medium,1/1/2021,0
696,Easy,1/1/2021,0
697,Easy,1/1/2021,0
698,Medium,1/1/2021,0
699,Hard,1/1/2021,0
703,Easy,1/1/2021,0
710,Hard,1/1/2021,0
712,Medium,1/1/2021,0
713,Medium,1/1/2021,0
715,Hard,1/1/2021,0
721,Medium,1/1/2021,0
725,Medium,1/1/2021,0
726,Hard,1/1/2021,0
730,Hard,1/1/2021,0
733,Easy,1/1/2021,0
735,Medium,1/1/2021,0
738,Medium,1/1/2021,0
739,Medium,1/1/2021,0
740,Medium,1/1/2021,0
741,Hard,1/1/2021,0
743,Medium,1/1/2021,0
746,Easy,1/1/2021,0
752,Medium,1/1/2021,0
754,Medium,1/1/2021,0
761,Hard,1/1/2021,0
764,Easy,1/1/2021,0
765,Hard,1/1/2021,0
766,Easy,1/1/2021,0
767,Medium,1/1/2021,0
768,Hard,1/1/2021,0
769,Medium,1/1/2021,0
771,Easy,1/1/2021,0
773,Hard,1/1/2021,0
778,Hard,1/1/2021,0
779,Medium,1/1/2021,0
780,Hard,1/1/2021,0
785,Medium,1/1/2021,0
789,Medium,1/1/2021,0
790,Medium,1/1/2021,0
793,Hard,1/1/2021,0
795,Medium,1/1/2021,0
797,Medium,1/1/2021,0
799,Medium,1/1/2021,0
802,Medium,1/1/2021,0
807,Medium,1/1/2021,0
814,Medium,1/1/2021,0
820,Medium,1/1/2021,0
823,Medium,1/1/2021,0
826,Medium,1/1/2021,0
830,Easy,1/1/2021,0
838,Medium,1/1/2021,0
844,Easy,1/1/2021,0
859,Easy,1/1/2021,0
860,Easy,1/1/2021,0
862,Hard,1/1/2021,0
865,Medium,1/1/2021,0
867,Easy,1/1/2021,0
872,Easy,1/1/2021,0
875,Medium,1/1/2021,0
876,Easy,1/1/2021,0
878,Hard,1/1/2021,0
881,Medium,1/1/2021,0
884,Easy,1/1/2021,0
888,Easy,1/1/2021,0
895,Hard,1/1/2021,0
898,Medium,1/1/2021,0
914,Easy,1/1/2021,0
917,Easy,1/1/2021,0
922,Easy,1/1/2021,0
924,Hard,1/1/2021,0
929,Easy,1/1/2021,0
938,Easy,1/1/2021,0
942,Easy,1/1/2021,0
953,Easy,1/1/2021,0
961,Easy,1/1/2021,0
965,Easy,1/1/2021,0
967,Medium,1/1/2021,0
973,Medium,1/1/2021,0
976,Easy,1/1/2021,0
977,Easy,1/1/2021,0
989,Easy,1/1/2021,0
993,Easy,1/1/2021,0
996,Hard,1/1/2021,0
997,Easy,1/1/2021,0
1002,Easy,1/1/2021,0
1005,Easy,1/1/2021,0
1010,Medium,1/1/2021,0
1015,Medium,1/1/2021,0
1022,Easy,1/1/2021,0
1030,Easy,1/1/2021,0
1041,Medium,1/1/2021,0
1047,Easy,1/1/2021,0
1071,Easy,1/1/2021,0
1103,Easy,1/1/2021,0
1109,Medium,1/1/2021,0
1122,Easy,1/1/2021,0
1128,Easy,1/1/2021,0
1160,Easy,1/1/2021,0
1171,Medium,1/1/2021,0
1186,Medium,1/1/2021,0
1189,Easy,1/1/2021,0
1200,Easy,1/1/2021,0
1217,Easy,1/1/2021,0
1219,Medium,1/1/2021,0
1221,Easy,1/1/2021,0
1227,Medium,1/1/2021,0
1232,Easy,1/1/2021,0
1261,Medium,1/1/2021,0
1263,Hard,1/1/2021,0
1281,Easy,1/1/2021,0
1284,Hard,1/1/2021,0
1304,Easy,1/1/2021,0
1306,Medium,1/1/2021,0
1314,Medium,1/1/2021,0
1326,Hard,1/1/2021,0
1329,Medium,1/1/2021,0
1337,Easy,1/1/2021,0
1342,Easy,1/1/2021,0
1351,Easy,1/1/2021,0
1356,Easy,1/1/2021,0
1367,Medium,1/1/2021,0
1373,Hard,1/1/2021,0
1380,Easy,1/1/2021,0
1382,Medium,1/1/2021,0
1394,Easy,1/1/2021,0
1408,Easy,1/1/2021,0
1413,Easy,1/1/2021,0
1417,Easy,1/1/2021,0
1422,Easy,1/1/2021,0
1431,Easy,1/1/2021,0
1436,Easy,1/1/2021,0
1446,Easy,1/1/2021,0
1464,Easy,1/1/2021,0
1470,Easy,1/1/2021,0
1475,Easy,1/1/2021,0
1486,Easy,1/1/2021,0
1489,hard,1/1/2021,0
1491,Easy,1/1/2021,0
1496,Easy,1/1/2021,0
1502,Easy,1/1/2021,0
1512,Easy,1/1/2021,0
1518,Easy,1/1/2021,0
1523,Easy,1/1/2021,0
1528,Easy,1/1/2021,0
1539,Easy,1/1/2021,0
1544,Easy,1/1/2021,0
1566,Easy,1/1/2021,0
1572,Easy,1/1/2021,0
1576,Easy,1/1/2021,0
1582,Easy,1/1/2021,0
1584,Medium,1/1/2021,0
1588,Easy,1/1/2021,0
1592,Easy,1/1/2021,0
1598,Easy,1/1/2021,0
1603,Easy,1/1/2021,0
1608,Easy,1/1/2021,0
1614,Easy,1/1/2021,0
1619,Easy,1/1/2021,0
1624,Easy,1/1/2021,0
1629,Easy,1/1/2021,0
1631,Medium,1/1/2021,0
1636,Easy,1/1/2021,0
1640,Easy,1/1/2021,0
1642,Medium,1/1/2021,0
1652,Easy,1/1/2021,0
1659,Hard,1/1/2021,0
1668,Easy,1/1/2021,0
1670,Medium,1/1/2021,0
1673,Medium,1/1/2021,0
1685,Medium,1/1/2021,0
1688,Easy,1/1/2021,0
1694,Easy,1/1/2021,0
1700,Easy,1/1/2021,0
1704,Easy,1/1/2021,0
1705,Medium,1/1/2021,0
1710,Easy,1/1/2021,0
1716,Easy,1/1/2021,0
1720,Easy,1/1/2021,0
1723,Hard,1/1/2021,0
1725,Easy,1/1/2021,0
1732,Easy,1/1/2021,0
1736,Easy,1/1/2021,0
1739,Hard,1/1/2021,0
1748,Easy,1/1/2021,0
1752,Easy,1/1/2021,0
1758,Easy,1/1/2021,0
1763,Easy,1/1/2021,0
1768,Easy,1/1/2021,0
1773,Easy,1/1/2021,0
1779,Easy,1/1/2021,0
1784,Easy,1/1/2021,0
1790,Easy,1/1/2021,0
1791,Easy,1/1/2021,0
1796,Easy,1/1/2021,0
1800,Easy,1/1/2021,0
1805,Easy,1/1/2021,0
1816,Easy,1/1/2021,0
1827,Easy,1/1/2021,0
1832,Easy,1/1/2021,0
1837,Easy,1/1/2021,0
1848,Easy,1/1/2021,0
1856,Medium,1/1/2021,0
1859,Easy,1/1/2021,0
1863,Easy,1/1/2021,0
1869,Easy,1/1/2021,0
1876,Easy,1/1/2021,0
1880,Easy,1/1/2021,0
1886,Easy,1/1/2021,0
1893,Easy,1/1/2021,0
1897,Easy,1/1/2021,0
1903,Easy,1/1/2021,0
1909,Easy,1/1/2021,0
1913,Easy,1/1/2021,0
1941,Easy,1/1/2021,0
1945,Easy,1/1/2021,0
1952,Easy,1/1/2021,0
1967,Easy,1/1/2021,0
1971,Easy,1/1/2021,0
1974,Easy,1/1/2021,0
1976,Easy,1/1/2021,0
1984,Easy,1/1/2021,0
2002,Medium,1/1/2021,0
2032,Easy,1/1/2021,0
69,Easy,29-09-2022,1
19,Medium,30-09-2022,1
53,Medium,1/10/2022,1
164,Hard,2/10/2022,1
145,Easy,3/10/2022,2
190,Easy,4/10/2022,2
101,Easy,5/10/2022,2
88,Easy,6/10/2022,2
1792,Medium,7/10/2022,2
464,Medium,8/10/2022,2
363,Hard,9/10/2022,2
202,Easy,10/10/2022,3
599,Easy,11/10/2022,3
392,Easy,12/10/2022,3
2404,Easy,13/10/2022,3
981,Medium,14/10/2022,3
1444,Hard,16/10/2022,3
195,Easy,17/10/2022,4
193,Easy,18/10/2022,4
196,Easy,19/10/2022,4
2423,Easy,20/10/2022,4
385,Medium,21/10/2022,4
81,Medium,22/10/2022,4
1172,Hard,23/10/2022,4
590,Easy,24/10/2022,5
2089,Easy,25/10/2022,5
1995,Easy,26/10/2022,5
1920,Easy,27/10/2022,5
419,Medium,28/10/2022,5
240,Medium,29/10/2022,5
1192,Hard,30/10/2022,5
14,Easy,Leetcode Comp,-
55,Medium,Leetcode Comp,-
1346,Easy,Leetcode Comp,-
787,Medium,31-10-2022,6
509,Easy,1/11/2022,6
338,Easy,2/11/2022,6
119,Easy,3/11/2022,6
935,Medium,4/11/2022,6
837,Medium,5/11/2022,6
956,Hard,6/11/2022,6
506,Easy,7/11/2022,7
434,Easy,8/11/2022,7
836,Easy,9/11/2022,7
231,Easy,10/11/2022,7
2101,Medium,11/11/2022,7
478,Medium,12/11/2022,7
1515,Hard,13/11/2022,7
2078,Easy,15/11/2022
349,Easy,16/11/2022
1450,Easy,17/11/2022
1781,Medium,18/11/2022
1158,Medium,19/11/2022297,Hard,2022-11-20
